time,P_PV,P_load
14256000.0,0.0,5721.577461600001
14256900.0,0.0,5725.215186800001
14257800.0,0.0,5736.032612800001
14258700.0,0.0,5721.2200412
14259600.0,0.0,5737.4653444000005
14260500.0,0.0,5720.0911996
14261400.0,0.0,5727.627182000001
14262300.0,0.0,5733.0726288000005
14263200.0,0.0,5720.06904
14264100.0,0.0,5725.738952000001
14265000.0,0.0,5695.1726132
14265900.0,0.0,5707.5567692
14266800.0,0.0,5678.939214800001
14267700.0,0.0,5697.0675088
14268600.0,0.0,5707.9849732
14269500.0,0.0,5718.601088
14270400.0,0.0,5822.5878712
14271300.0,0.0,5369.655007740001
14272200.0,0.0,5478.312395340001
14273100.0,79.76512746067831,5444.67854174
14274000.0,253.6224956296715,5411.431056140001
14274900.0,540.9522769124583,6300.75293747
14275800.0,1020.5752008463242,6384.9518826700005
14276700.0,1713.4946754382986,6426.820154669999
14277600.0,2634.918311649389,6510.05309187
14278500.0,3654.676727768856,7349.43813686
14279400.0,4630.6054037974745,7512.84261006
14280300.0,5593.516201524697,7469.82877406
14281200.0,6661.858650828653,7571.8550948600005
14282100.0,7812.527515632157,14937.1330074
14283000.0,9026.518640608505,14907.667613799998
14283900.0,10188.319543891932,14961.438776199999
14284800.0,11259.479644607449,14872.525549799999
14285700.0,12284.807093172196,15421.9352425
14286600.0,13330.973711856053,15454.3177709
14287500.0,14373.006061749096,15496.2159221
14288400.0,15348.748141672482,15538.528856899999
14289300.0,16276.9776858564,15711.6334441
14290200.0,17165.874077861907,15587.353248100002
14291100.0,17898.091862033834,15680.7298069
14292000.0,18386.114837827095,15692.504018900001
14292900.0,18694.564560525927,15722.6959582
14293800.0,18909.814695561046,15829.818098200001
14294700.0,18996.85160220626,15758.994555000001
14295600.0,18930.479634270516,15750.0595118
14296500.0,18852.46797544839,14859.0606072
14297400.0,18856.902558719667,14761.457260799998
14298300.0,18941.040850432724,14872.9012364
14299200.0,19005.285078895224,14932.326093999998
14300100.0,19046.888409503877,15754.9666383
14301000.0,19059.932476936,15612.0989331
14301900.0,19061.37739982619,15725.1930095
14302800.0,19073.08870466635,15737.5454031
14303700.0,19020.053134312744,15749.0702648
14304600.0,18866.805490625065,15768.8349232
14305500.0,18542.683782273987,15765.0423176
14306400.0,18005.496622170736,15730.9376052
14307300.0,17280.542783464207,15752.8696146
14308200.0,16394.84797816779,15721.599503
14309100.0,15356.049848520133,15698.977741799998
14310000.0,14232.54872589324,15726.871060599999
14310900.0,13105.988037899418,15819.370433900001
14311800.0,12054.987372896097,15849.472787100001
14312700.0,11098.034270310069,15777.568549100002
14313600.0,10194.805837792486,15788.678048300002
14314500.0,9277.137747203424,10557.28099103
14315400.0,8310.935530642048,10625.683790629999
14316300.0,7323.52437244148,10540.37051983
14317200.0,6356.888506601394,10631.304015029998
14318100.0,5415.651820560919,8273.289010400002
14319000.0,4509.519226809428,8271.282690799999
14319900.0,3222.701897177775,8248.325558
14320800.0,1668.2675109054194,8194.568662
14321700.0,458.9364566671412,7743.49042234
14322600.0,0.0,7700.37854594
14323500.0,0.0,7802.14805914
14324400.0,0.0,7711.224475139999
14325300.0,0.0,9136.3840846
14326200.0,0.0,9100.7034234
14327100.0,0.0,9120.2785382
14328000.0,0.0,9133.0644026
14328900.0,0.0,9035.348376029999
14329800.0,0.0,8919.519592429999
14330700.0,0.0,8884.73775603
14331600.0,0.0,8922.96500963
14332500.0,0.0,6082.015014
14333400.0,0.0,6075.849379199999
14334300.0,0.0,6051.6386592
14335200.0,0.0,6076.3924443999995
14336100.0,0.0,5761.374534400001
14337000.0,0.0,5793.819616000001
