High Season Weekday,High Season Weekend,Low Season Weekday,Low Season Weekend
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.15858,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.10018,0.07274,0.10018,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
0.07274,0.07274,0.07664,0.07664
